cat_ent,ind_trpu,ind_inunda,ind_evp,ind_cavas,ind_indus
ALTO,0.86,1.0,0.444113583699,1.0,0.98
MEDIO,0.99,1.0,1.0,1.0,0.2
ALTO,1.0,1.0,0.0,1.0,1.0
MEDIO,1.0,1.0,0.0,1.0,0.54
MEDIO,0.96,1.0,1.0,1.0,0.13
MUY ALTO,1.0,1.0,0.967578622956,1.0,0.81
MUY ALTO,1.0,1.0,1.0,1.0,0.83
MEDIO,1.0,1.0,1.0,1.0,0.23
ALTO,1.0,1.0,0.966436978104,1.0,0.39
MUY ALTO,0.99,1.0,1.0,1.0,0.71
MUY ALTO,0.99,1.0,0.674540880332,1.0,1.0
MEDIO,1.0,1.0,0.329263167319,1.0,0.52
MUY ALTO,1.0,1.0,0.924654421558,1.0,0.7
MEDIO,0.71,1.0,0.0567392976963,1.0,0.62
ALTO,1.0,1.0,0.0835738876675,1.0,1.0
ALTO,0.87,1.0,0.37818459784,1.0,1.0
ALTO,0.87,1.0,0.0,1.0,0.96
MEDIO,0.31,1.0,0.20755928607,1.0,0.92
BAJO,1.0,1.0,0.413906624094,1.0,0.07
MEDIO,0.27,1.0,1.0,1.0,0.58
MUY ALTO,1.0,1.0,0.43272269233,1.0,0.99
MUY ALTO,1.0,1.0,0.585685829307,1.0,0.99
MEDIO,0.58,1.0,1.0,1.0,0.4
MEDIO,0.74,1.0,0.0,1.0,0.69
BAJO,0.87,1.0,0.0,1.0,0.41
ALTO,1.0,1.0,0.93287417431,1.0,0.54
ALTO,1.0,1.0,0.716190622174,1.0,0.67
ALTO,0.12,1.0,0.693073281385,1.0,1.0
MEDIO,0.02,1.0,1.0,1.0,0.59
MEDIO,0.71,1.0,1.0,1.0,0.3
MEDIO,0.89,1.0,1.0,1.0,0.33
ALTO,1.0,1.0,0.905701291724,1.0,0.58
ALTO,1.0,1.0,1.0,1.0,0.37
ALTO,1.0,1.0,1.0,1.0,0.61
ALTO,1.0,1.0,0.259998183649,1.0,0.86
MUY ALTO,0.58,1.0,0.960320184202,1.0,1.0
ALTO,1.0,1.0,0.997132727755,1.0,0.52
MUY ALTO,0.56,1.0,1.0,1.0,0.9
MEDIO,0.74,1.0,0.0,1.0,0.61
MUY ALTO,1.0,1.0,0.100017517187,1.0,0.85
BAJO,1.0,1.0,0.331677268377,1.0,0.23
ALTO,0.12,1.0,0.557638279818,1.0,1.0
MEDIO,1.0,1.0,0.471454949456,1.0,0.36
ALTO,0.98,1.0,1.0,1.0,0.59
MEDIO,0.99,1.0,1.0,1.0,0.14
MUY ALTO,0.68,1.0,1.0,1.0,0.91
MUY ALTO,0.97,1.0,1.0,1.0,0.68
ALTO,1.0,1.0,0.65815487604,1.0,0.52
ALTO,1.0,1.0,1.0,1.0,0.51
BAJO,0.82,1.0,0.171871591825,1.0,0.29
ALTO,1.0,1.0,0.570965270497,1.0,0.58
BAJO,0.5,1.0,0.141903695032,1.0,0.59
BAJO,0.24,1.0,0.00764649148334,1.0,0.82
MEDIO,1.0,1.0,0.0,1.0,0.75
MUY ALTO,1.0,1.0,0.584678895509,1.0,0.85
BAJO,0.99,1.0,0.0,1.0,0.41
MEDIO,0.13,1.0,0.0,1.0,0.98
ALTO,0.94,1.0,0.903024482614,1.0,0.67
MUY ALTO,0.81,1.0,0.818633579008,1.0,1.0
MEDIO,1.0,1.0,0.100027965581,1.0,0.28
MEDIO,0.84,1.0,1.0,1.0,0.06
ALTO,0.9,1.0,1.0,1.0,0.6
