ind_trpu,ind_inunda,ind_evp,ind_cavas,ind_indus,cat_ent
1.0,1.0,1.0,1.0,0.06,MEDIO
1.0,0.29,1.0,1.0,0.36,MEDIO
0.96,1.0,0.642420791273,1.0,0.57,MEDIO
1.0,1.0,1.0,1.0,0.24,MEDIO
1.0,0.02,1.0,1.0,0.6,MEDIO
1.0,1.0,1.0,1.0,0.19,MEDIO
1.0,1.0,1.0,1.0,0.26,MEDIO
1.0,0.0,1.0,1.0,0.61,MEDIO
1.0,1.0,0.804550352758,1.0,0.37,MEDIO
0.97,1.0,1.0,1.0,0.27,MEDIO
0.58,0.0,1.0,1.0,0.8,MEDIO
1.0,1.0,0.927951237855,1.0,0.23,MEDIO
1.0,0.43,1.0,1.0,0.38,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
1.0,1.0,0.0,1.0,0.63,MEDIO
0.46,1.0,0.0,1.0,0.87,MEDIO
1.0,1.0,0.836360593177,1.0,0.28,MEDIO
1.0,0.44,1.0,1.0,0.51,MEDIO
1.0,1.0,0.999777148005,1.0,0.17,MEDIO
1.0,1.0,0.999730993737,1.0,0.25,MEDIO
1.0,1.0,1.0,1.0,0.23,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
0.48,1.0,0.144417552284,1.0,1.0,MEDIO
0.07,1.0,0.0,1.0,0.97,MEDIO
0.0,0.0,1.0,1.0,1.0,MEDIO
1.0,1.0,0.907750999856,1.0,0.25,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
1.0,0.25,1.0,1.0,0.36,MEDIO
0.0,0.5,1.0,1.0,1.0,MEDIO
1.0,0.0,1.0,1.0,0.65,MEDIO
0.13,1.0,1.0,1.0,0.5,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
0.7,1.0,0.300254498498,1.0,0.81,MEDIO
1.0,1.0,1.0,1.0,0.22,MEDIO
1.0,1.0,0.0,1.0,0.53,MEDIO
0.96,1.0,1.0,1.0,0.15,MEDIO
1.0,1.0,0.998678582852,1.0,0.0,MEDIO
1.0,1.0,1.0,1.0,0.14,MEDIO
0.77,1.0,1.0,1.0,0.07,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
1.0,1.0,1.0,1.0,0.03,MEDIO
1.0,1.0,1.0,1.0,0.02,MEDIO
1.0,0.43,1.0,1.0,0.52,MEDIO
0.0,0.43,0.838436509377,0.58085595282,1.0,MEDIO
1.0,1.0,1.0,1.0,0.09,MEDIO
1.0,0.07,1.0,1.0,0.53,MEDIO
1.0,1.0,0.0,1.0,0.64,MEDIO
0.26,0.0,1.0,1.0,0.98,MEDIO
1.0,1.0,1.0,1.0,0.18,MEDIO
1.0,1.0,1.0,1.0,0.22,MEDIO
1.0,1.0,1.0,1.0,0.24,MEDIO
1.0,1.0,1.0,1.0,0.07,MEDIO
0.0,1.0,0.0,1.0,1.0,MEDIO
1.0,1.0,1.0,1.0,0.01,MEDIO
0.0,1.0,1.0,1.0,0.72,MEDIO
1.0,0.0,1.0,1.0,0.5,MEDIO
1.0,1.0,0.100002662126,1.0,0.08,MEDIO
1.0,1.0,0.0,1.0,0.48,MEDIO
0.75,0.9,0.0,1.0,0.95,MEDIO
1.0,0.73,1.0,1.0,0.37,MEDIO
1.0,0.68,1.0,1.0,0.37,MEDIO
1.0,1.0,1.0,1.0,0.15,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
0.0,1.0,0.0,1.0,1.0,MEDIO
1.0,1.0,1.0,1.0,0.07,MEDIO
0.0,1.0,0.0,1.0,1.0,MEDIO
1.0,0.0,1.0,1.0,0.56,MEDIO
1.0,0.47,1.0,1.0,0.39,MEDIO
1.0,1.0,0.100058712132,1.0,0.01,MEDIO
1.0,1.0,0.998015104617,1.0,0.0,MEDIO
0.68,1.0,1.0,1.0,0.36,MEDIO
1.0,1.0,0.999807098976,1.0,0.15,MEDIO
1.0,1.0,0.0,1.0,0.6,MEDIO
0.4,0.94,1.0,1.0,0.51,MEDIO
1.0,1.0,0.0,1.0,0.52,MEDIO
1.0,1.0,1.0,1.0,0.01,MEDIO
0.0,0.0,1.0,1.0,1.0,MEDIO
1.0,0.5,1.0,1.0,0.53,MEDIO
1.0,1.0,0.0,1.0,0.58,MEDIO
0.0,0.88,0.100004009765,1.0,0.78,MEDIO
0.39,1.0,0.0,1.0,0.94,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
0.96,1.0,1.0,1.0,0.3,MEDIO
1.0,1.0,1.0,1.0,0.0,MEDIO
1.0,0.44,1.0,1.0,0.4,MEDIO
1.0,1.0,0.657974823195,1.0,0.74,ALTO
0.7,1.0,0.909752038967,1.0,0.69,ALTO
1.0,1.0,1.0,1.0,0.31,ALTO
1.0,1.0,1.0,1.0,0.51,ALTO
1.0,1.0,0.999765887286,1.0,0.52,ALTO
1.0,1.0,1.0,1.0,0.5,ALTO
1.0,1.0,1.0,1.0,0.63,ALTO
0.34,1.0,0.998101031013,1.0,0.9,ALTO
1.0,1.0,1.0,1.0,0.32,ALTO
1.0,1.0,1.0,1.0,0.61,ALTO
1.0,1.0,1.0,1.0,0.35,ALTO
0.4,1.0,0.999939500708,1.0,0.67,ALTO
0.96,1.0,1.0,1.0,0.33,ALTO
0.53,1.0,0.74028368234,1.0,1.0,ALTO
1.0,0.99,1.0,1.0,0.53,ALTO
0.95,1.0,1.0,1.0,0.32,ALTO
1.0,1.0,0.0,1.0,0.9,ALTO
0.92,1.0,1.0,1.0,0.49,ALTO
0.37,1.0,0.945986687011,1.0,0.82,ALTO
1.0,0.95,1.0,1.0,0.41,ALTO
1.0,1.0,0.968644889863,1.0,0.51,ALTO
0.98,1.0,1.0,1.0,0.53,ALTO
1.0,0.01,1.0,1.0,1.0,ALTO
1.0,1.0,0.999961989698,1.0,0.34,ALTO
1.0,1.0,1.0,1.0,0.51,ALTO
1.0,1.0,1.0,1.0,0.57,ALTO
1.0,1.0,0.998968076329,1.0,0.54,ALTO
0.83,1.0,1.0,1.0,0.4,ALTO
1.0,1.0,0.0,1.0,0.99,ALTO
1.0,1.0,0.749510895167,1.0,0.61,ALTO
1.0,1.0,1.0,1.0,0.61,ALTO
1.0,1.0,1.0,1.0,0.31,ALTO
0.36,1.0,1.0,1.0,0.96,ALTO
1.0,1.0,1.0,1.0,0.34,ALTO
0.51,1.0,0.759719335324,1.0,1.0,ALTO
1.0,1.0,1.0,1.0,0.51,ALTO
1.0,1.0,1.0,1.0,0.38,ALTO
1.0,1.0,0.100096589368,1.0,0.5,ALTO
1.0,0.99,1.0,1.0,0.42,ALTO
1.0,0.02,1.0,1.0,0.81,ALTO
0.13,1.0,1.0,1.0,0.92,ALTO
1.0,1.0,1.0,1.0,0.38,ALTO
0.87,1.0,1.0,1.0,0.39,ALTO
1.0,1.0,0.597308724432,1.0,0.56,ALTO
1.0,1.0,0.998952972139,1.0,0.56,ALTO
1.0,1.0,0.100000985451,1.0,0.5,ALTO
0.94,1.0,0.0,1.0,0.86,ALTO
1.0,1.0,0.997703059204,1.0,0.31,ALTO
1.0,1.0,0.0,1.0,0.83,ALTO
0.68,0.0,1.0,1.0,1.0,ALTO
1.0,1.0,0.998982797309,1.0,0.42,ALTO
1.0,1.0,1.0,1.0,0.36,ALTO
0.68,1.0,0.000966195591634,1.0,1.0,ALTO
0.99,1.0,0.9247258757,1.0,0.41,ALTO
0.99,1.0,1.0,1.0,0.47,ALTO
0.23,1.0,0.100005295008,1.0,1.0,ALTO
0.88,1.0,0.0,1.0,1.0,ALTO
1.0,1.0,0.0,1.0,1.0,ALTO
0.94,1.0,0.832416196631,1.0,0.62,ALTO
1.0,1.0,0.100100258006,1.0,0.3,ALTO
1.0,1.0,1.0,1.0,0.54,ALTO
1.0,1.0,1.0,1.0,0.39,ALTO
0.18,1.0,1.0,1.0,1.0,ALTO
0.86,0.79,1.0,1.0,0.49,ALTO
1.0,1.0,1.0,1.0,0.37,ALTO
1.0,1.0,0.100020590129,1.0,0.44,ALTO
1.0,1.0,1.0,1.0,0.5,ALTO
1.0,1.0,1.0,1.0,0.4,ALTO
0.4,1.0,1.0,1.0,0.65,ALTO
0.98,1.0,1.0,1.0,0.56,ALTO
1.0,1.0,1.0,1.0,0.54,ALTO
1.0,1.0,0.0162832453605,1.0,0.9,ALTO
0.33,1.0,1.0,1.0,0.84,ALTO
1.0,1.0,1.0,1.0,0.6,ALTO
0.82,0.97,0.0,1.0,1.0,ALTO
1.0,1.0,0.499180404828,1.0,0.65,ALTO
1.0,1.0,1.0,1.0,0.41,ALTO
1.0,1.0,1.0,1.0,0.54,ALTO
0.83,1.0,1.0,1.0,0.56,ALTO
1.0,1.0,1.0,1.0,0.56,ALTO
1.0,1.0,1.0,1.0,0.53,ALTO
1.0,0.0,1.0,1.0,1.0,ALTO
1.0,1.0,0.999598621356,1.0,0.54,ALTO
1.0,1.0,1.0,1.0,0.35,ALTO
1.0,1.0,0.100050663638,1.0,0.5,ALTO
1.0,1.0,1.0,1.0,0.58,ALTO
1.0,0.37,1.0,1.0,0.03,BAJO
0.34,1.0,0.0,1.0,0.65,BAJO
1.0,1.0,0.339632847357,1.0,0.29,BAJO
1.0,0.5,1.0,1.0,0.0,BAJO
0.77,1.0,0.0,1.0,0.41,BAJO
0.09,0.9,0.0,1.0,1.0,BAJO
1.0,0.52,1.0,1.0,0.01,BAJO
0.0,1.0,1.0,1.0,0.17,BAJO
1.0,0.51,1.0,1.0,0.05,BAJO
0.0,1.0,1.0,1.0,0.45,BAJO
0.96,1.0,0.0,1.0,0.28,BAJO
1.0,0.0,1.0,1.0,0.37,BAJO
0.68,1.0,0.0,1.0,0.35,BAJO
0.62,0.3,1.0,1.0,0.28,BAJO
